PV Array & Battery Report
,"PV and Battery required based on Prescriptive tables:  163.0 kWdc PV  /  Battery Energy 176.8 kWh and Power 42.39 kW"
,"Standard Design PV Capacity: 163.0 kWdc  /  Battery System Capacity: 176.8 kWh  (power 42.39 kW)"
,"User-specified PV and Battery equipment:  207.1 kWdc PV  /  184.0 kWh Battery"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,Grocery,Highrise Multifamily,"Office, Financial, Unleased Tenant",Retail,School,Warehouse,Other,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"A2.1_217","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",797.476,1,,797.476,,,,,,,1,,,1.76242,1.91084,0.45823,
"B2.5_215","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1167.91,1,,1167.91,,,,,,,1,,,2.58108,2.79844,0.671081,
"B2.5_213","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1167.91,1,,1167.91,,,,,,,1,,,2.58108,2.79844,0.671081,
"A2.1_211","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",797.476,1,,797.476,,,,,,,1,,,1.76242,1.91084,0.45823,
"B3_210","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1278.06,1,,1278.06,,,,,,,1,,,2.82451,3.06237,0.734373,
"B2.4_209","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1189.25,1,,1189.25,,,,,,,1,,,2.62824,2.84957,0.683343,
"A2_206","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",773.274,1,,773.274,,,,,,,1,,,1.70894,1.85285,0.444323,
"B2.3-R_201","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1175.17,1,,1175.17,,,,,,,1,,,2.59713,2.81583,0.675253,
"A2-R_216","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",773.274,1,,773.274,,,,,,,1,,,1.70894,1.85285,0.444323,
"A4.2-R_223","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",881.525,1,,881.525,,,,,,,1,,,1.94817,2.11223,0.506524,
"A7_221","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1066.98,1,,1066.98,,,,,,,1,,,2.35803,2.5566,0.613087,
"B4_214","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",1106.43,1,,1106.43,,,,,,,1,,,2.44521,2.65112,0.635755,
"A4_212","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",820.762,1,,820.762,,,,,,,1,,,1.81388,1.96663,0.47161,
"A4_205","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",820.762,1,,820.762,,,,,,,1,,,1.81388,1.96663,0.47161,
"A4_203","Conditioned","High-Rise Residential Living Spaces","Highrise Multifamily",820.762,1,,820.762,,,,,,,1,,,1.81388,1.96663,0.47161,
